"citizen","geo","time","values","iso2"
"Andorra","Austria",2015-09-01,NA,"AT"
"Andorra","Belgium",2015-09-01,0,"BE"
"Andorra","Bulgaria",2015-09-01,0,"BG"
"Andorra","Switzerland",2015-09-01,0,"CH"
"Andorra","Cyprus",2015-09-01,NA,"CY"
"Andorra","Czech Republic",2015-09-01,NA,"CZ"
"Andorra","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"Andorra","Denmark",2015-09-01,NA,"DK"
"Andorra","Estonia",2015-09-01,NA,"EE"
"Andorra","Greece",2015-09-01,NA,"EL"
"Andorra","Spain",2015-09-01,NA,"ES"
"Andorra","European Union (28 countries)",2015-09-01,0,"EU28"
"Andorra","Finland",2015-09-01,0,"FI"
"Andorra","France",2015-09-01,NA,"FR"
"Andorra","Croatia",2015-09-01,NA,"HR"
"Andorra","Hungary",2015-09-01,NA,"HU"
"Andorra","Ireland",2015-09-01,NA,"IE"
"Andorra","Iceland",2015-09-01,NA,"IS"
"Andorra","Italy",2015-09-01,NA,"IT"
"Andorra","Liechtenstein",2015-09-01,0,"LI"
"Andorra","Lithuania",2015-09-01,NA,"LT"
"Andorra","Luxembourg",2015-09-01,NA,"LU"
"Andorra","Latvia",2015-09-01,NA,"LV"
"Andorra","Malta",2015-09-01,NA,"MT"
"Andorra","Netherlands",2015-09-01,NA,"NL"
"Andorra","Norway",2015-09-01,0,"NO"
"Andorra","Poland",2015-09-01,0,"PL"
"Andorra","Portugal",2015-09-01,NA,"PT"
"Andorra","Romania",2015-09-01,NA,"RO"
"Andorra","Sweden",2015-09-01,0,"SE"
"Andorra","Slovenia",2015-09-01,NA,"SI"
"Andorra","Slovakia",2015-09-01,NA,"SK"
"Andorra","Total",2015-09-01,0,"TOTAL"
"Andorra","United Kingdom",2015-09-01,NA,"UK"
"United Arab Emirates","Austria",2015-09-01,NA,"AT"
"United Arab Emirates","Belgium",2015-09-01,0,"BE"
"United Arab Emirates","Bulgaria",2015-09-01,0,"BG"
"United Arab Emirates","Switzerland",2015-09-01,0,"CH"
"United Arab Emirates","Cyprus",2015-09-01,NA,"CY"
"United Arab Emirates","Czech Republic",2015-09-01,NA,"CZ"
"United Arab Emirates","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"United Arab Emirates","Denmark",2015-09-01,NA,"DK"
"United Arab Emirates","Estonia",2015-09-01,NA,"EE"
"United Arab Emirates","Greece",2015-09-01,NA,"EL"
"United Arab Emirates","Spain",2015-09-01,NA,"ES"
"United Arab Emirates","European Union (28 countries)",2015-09-01,0,"EU28"
"United Arab Emirates","Finland",2015-09-01,0,"FI"
"United Arab Emirates","France",2015-09-01,NA,"FR"
"United Arab Emirates","Croatia",2015-09-01,NA,"HR"
"United Arab Emirates","Hungary",2015-09-01,NA,"HU"
"United Arab Emirates","Ireland",2015-09-01,NA,"IE"
"United Arab Emirates","Iceland",2015-09-01,NA,"IS"
"United Arab Emirates","Italy",2015-09-01,NA,"IT"
