"iso2","citizen","values","geo"
"AT","Afghanistan",10420,"Austria"
"AT","Albania",80,"Austria"
"AT","Eritrea",65,"Austria"
"AT","Iraq",6405,"Austria"
"AT","Kosovo",2355,"Austria"
"AT","Other countries",13510,"Austria"
"AT","Syria",12915,"Austria"
"CH","Afghanistan",1925,"Switzerland"
"CH","Albania",365,"Switzerland"
"CH","Eritrea",8920,"Switzerland"
"CH","Iraq",815,"Switzerland"
"CH","Kosovo",465,"Switzerland"
"CH","Other countries",9155,"Switzerland"
"CH","Syria",2330,"Switzerland"
"DE","Afghanistan",14695,"Germany"
"DE","Albania",44790,"Germany"
"DE","Eritrea",6675,"Germany"
"DE","Iraq",14600,"Germany"
"DE","Kosovo",34195,"Germany"
"DE","Other countries",105530,"Germany"
"DE","Syria",68195,"Germany"
"FR","Afghanistan",450,"France"
"FR","Albania",1550,"France"
"FR","Eritrea",680,"France"
"FR","Iraq",1630,"France"
"FR","Kosovo",3230,"France"
"FR","Other countries",28600,"France"
"FR","Syria",1705,"France"
"HU","Afghanistan",38495,"Hungary"
"HU","Albania",205,"Hungary"
"HU","Eritrea",515,"Hungary"
"HU","Iraq",6945,"Hungary"
"HU","Kosovo",24215,"Hungary"
"HU","Other countries",28110,"Hungary"
"HU","Syria",46580,"Hungary"
"IT","Afghanistan",2505,"Italy"
"IT","Albania",240,"Italy"
"IT","Eritrea",245,"Italy"
"IT","Iraq",275,"Italy"
"IT","Kosovo",180,"Italy"
"IT","Other countries",44190,"Italy"
"IT","Syria",195,"Italy"
"other","Afghanistan",11125,"Other European countries"
"other","Albania",2495,"Other European countries"
"other","Eritrea",8590,"Other European countries"
"other","Iraq",24950,"Other European countries"
"other","Kosovo",1730,"Other European countries"
"other","Other countries",43950,"Other European countries"
"other","Syria",30635,"Other European countries"
"SE","Afghanistan",9920,"Sweden"
"SE","Albania",2020,"Sweden"
"SE","Eritrea",5980,"Sweden"
"SE","Iraq",5680,"Sweden"
"SE","Kosovo",1590,"Sweden"
"SE","Other countries",22000,"Sweden"
"SE","Syria",25685,"Sweden"
"UK","Afghanistan",1270,"United Kingdom"
"UK","Albania",1010,"United Kingdom"
"UK","Eritrea",2045,"United Kingdom"
"UK","Iraq",750,"United Kingdom"
"UK","Kosovo",15,"United Kingdom"
"UK","Other countries",12835,"United Kingdom"
"UK","Syria",1325,"United Kingdom"
